Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;From_Server;Message
10.744593420279134;credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff;INFO;0.2;0.02;2.023182615434012;4d5c5cd8-e216-4906-9c1a-d1e8245cdd50;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
10.7655735069215;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;INFO;0.3;0.03;3.023982018210046;b38bbf0b-45de-435e-8ab7-c74142fa628e;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting authentication#37cd7f38-9399-4197-98e3-5d0c46f77465 by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
10.79531456951484;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;0.4;0.04;4.0146032320965155;7d941721-1a07-4aba-a8fc-e8a4910f0786;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;Error due to TIMEOUT
11.21309422697708;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.8;0.1;8.053748067020809;4a26ef36-39f2-4baf-bc38-5edb2a2de68a;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;Error due to TIMEOUT
11.237399720531942;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;INFO;0.7;0.07;7.080381670370074;5650e458-66e3-4c98-88cd-ea388935b662;client;Requesting balance#298e8b6e-d34a-41fc-b78a-38243c7a133e by client
11.252989785397483;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;ERROR;0.6;0.06;6.02409505259361;7012075a-47a3-4079-a494-3de5c13d5566;client;Error due to TIMEOUT
11.356847307611021;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;INFO;0.5;0.05;5.06873319955731;bcc9f5a6-a013-4dc8-bc5c-2718703ab143;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
11.530359708764056;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;1.0;0.11;10.034354655346496;1b8abc28-6f6f-492d-be0c-f34f81e35af4;client;Error due to TIMEOUT
12.228632674476506;credit#e2b62279-057a-4ce0-8022-8f152ec40761;INFO;0.1;0.01;1.0155384474994256;4a26ef36-39f2-4baf-bc38-5edb2a2de68a;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting credit#e2b62279-057a-4ce0-8022-8f152ec40761 by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
12.487996612705757;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;INFO;0.3;0.03;3.064839199640534;eff9fd23-a1ef-4e0e-8136-47aadcb7576e;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting authentication#37cd7f38-9399-4197-98e3-5d0c46f77465 by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
12.540310266745063;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;INFO;0.9;0.09;9.070371287747651;7bd70735-c4cb-4cbe-a9d1-e94db632cd4a;client;Requesting balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6 by client
12.54477844184494;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;0.6;0.06;6.054122269945057;9bc024e7-449b-4cdf-9f41-83b7bf4fd856;client;Error due to TIMEOUT
12.544913197999616;credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff;INFO;0.2;0.02;2.0633832289444802;4348187e-de92-45eb-b887-1558603fb905;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
12.828515055719208;credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff;INFO;0.2;0.02;2.0633832289444802;7d941721-1a07-4aba-a8fc-e8a4910f0786;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Requesting credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff by balance#c78dd101-15a9-4e95-b644-c7c74c835ea3
12.926671640507896;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;ERROR;0.7;0.07;7.025392965289361;730b7b5d-b624-44a8-b88c-ed0c75d91db8;client;Error due to TIMEOUT
13.060112511720234;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;INFO;0.4;0.04;4.0877604830961;b7a2671f-d4a9-4153-96a0-04a857c06be4;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
13.300254901811858;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;INFO;0.4;0.04;4.029913499754624;5650e458-66e3-4c98-88cd-ea388935b662;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29 by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
13.640136137456969;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;0.9;0.09;9.04268003439576;a0fce994-334b-4811-8667-08f37ac58ebb;client;Error due to TIMEOUT
13.687872556884344;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;INFO;0.7;0.07;7.066805219050475;50f5a381-af83-4093-9cc0-9af6646184f3;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
13.8102343573266;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;0.7;0.07;7.0483343885619725;89867b05-cd9a-4da4-bd04-a4d81ac4a39f;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;Error due to TIMEOUT
13.85195158361831;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;1.0;0.11;10.022454383991771;2ee60bd3-3878-4678-8b52-dc89aea77f87;client;Error due to TIMEOUT
13.861989506920466;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;INFO;0.4;0.04;4.0183124606929645;c2d2a493-5cfd-4ce8-9bd9-17984223e672;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;Requesting authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8 by balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6
14.003825773516834;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;0.8;0.09;8.017861018094148;a77d8b75-6a7b-4186-9c4f-75b98c2512fc;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;Error due to TIMEOUT
14.060852485553923;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.8;0.11;8.062808813002095;c2577a66-9263-498d-947c-3d42ddd8f27b;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;Error due to TIMEOUT
14.420112546779047;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.8;0.09;8.094047075621777;399395b4-417c-475a-892e-a922afcad018;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;Error due to TIMEOUT
14.588122275759785;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;INFO;0.5;0.05;5.064631449471095;1b8abc28-6f6f-492d-be0c-f34f81e35af4;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29 by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
