Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;To_Server;Message
18.15471724152877;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.008905004523577075;0.002325807258303691;0.05056993561225905;bc4b9165-9eff-4710-83af-8f9fb876e2ba;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
19.212395184280744;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.20199447028717782;0.026484541885889005;1.0576779427519754;bc4b9165-9eff-4710-83af-8f9fb876e2ba;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
19.228788173054248;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;INFO;0.006661018628218239;0.0049936333251139236;0.016392988773503626;bc4b9165-9eff-4710-83af-8f9fb876e2ba;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;Requesting payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30 by payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30
19.251535073797847;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.004245004498252212;0.009293450408823973;0.02274690074359828;bc4b9165-9eff-4710-83af-8f9fb876e2ba;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
20.96212717747622;client;INFO;0.0023219015352026213;0.009316862513789798;1.0125600961448007;2cf9791a-f356-403f-8b87-3bd47c8f9a4b;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
21.05117722271199;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.005011380564687228;0.007116741376285081;0.08905004523577076;2cf9791a-f356-403f-8b87-3bd47c8f9a4b;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
21.074396238064015;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.10396161778809462;0.01599010895958261;0.023219015352026213;2cf9791a-f356-403f-8b87-3bd47c8f9a4b;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
21.116846283046538;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.007645738354586989;0.0075247397061776996;0.042450044982522125;2cf9791a-f356-403f-8b87-3bd47c8f9a4b;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
21.780566974001548;client;INFO;0.205192065265882;0.029009318462521718;1.0396161778809463;1b95b0c5-14cc-4f7c-a5a6-929d41770d39;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
21.83068077964842;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.007610055093560619;0.005071535198378485;0.050113805646872275;1b95b0c5-14cc-4f7c-a5a6-929d41770d39;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
22.32416561125789;client;INFO;0.10628132767991938;0.019744749999690128;2.05192065265882;3bda3d79-ac1a-418d-9e5a-f9453ef73b41;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
22.400266162193496;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.006300614920349779;0.0028172519148435857;0.07610055093560619;3bda3d79-ac1a-418d-9e5a-f9453ef73b41;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
23.46307943899269;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.20982269405784326;0.022436047000171787;1.0628132767991938;3bda3d79-ac1a-418d-9e5a-f9453ef73b41;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
23.539536822538558;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.005529785452515781;0.004925182881124989;0.0764573835458699;3bda3d79-ac1a-418d-9e5a-f9453ef73b41;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
23.88260143230724;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.20982269405784326;0.022436047000171787;1.0628132767991938;1b95b0c5-14cc-4f7c-a5a6-929d41770d39;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
23.949211618589423;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;INFO;0.007150779478436123;0.002554290550809323;0.06661018628218239;1b95b0c5-14cc-4f7c-a5a6-929d41770d39;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;Requesting payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30 by payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30
24.00450947311458;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.007159059423000491;0.007249954158745906;0.05529785452515781;1b95b0c5-14cc-4f7c-a5a6-929d41770d39;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
26.705742976371504;client;INFO;0.009055433672999599;0.005331229360968153;3.017778630017633;6bfc1064-5b8f-4b8f-9cbd-6b06df69f65c;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
26.768749125575003;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;INFO;0.1088360897280668;0.018727520366460818;0.0630061492034978;6bfc1064-5b8f-4b8f-9cbd-6b06df69f65c;authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6;Requesting authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6 by authentication#697fca12-5e2b-4e01-b0d3-81e084c20ed6
26.859303462305;balance#db378d69-78bb-409a-994f-18b808b06d14;INFO;0.10998942941488739;0.01815458831667026;0.090554336729996;6bfc1064-5b8f-4b8f-9cbd-6b06df69f65c;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by balance#db378d69-78bb-409a-994f-18b808b06d14
26.93081125708936;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;INFO;0.006648928603442704;0.0022001844272212467;0.07150779478436123;6bfc1064-5b8f-4b8f-9cbd-6b06df69f65c;payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30;Requesting payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30 by payment#0c56fbee-e3f8-449e-86b2-f83eceab7a30
27.002401851319366;credit#79f62aad-d546-4726-bcac-d0ee58558c91;INFO;0.007515606450482315;0.001980363681197113;0.07159059423000491;6bfc1064-5b8f-4b8f-9cbd-6b06df69f65c;credit#79f62aad-d546-4726-bcac-d0ee58558c91;Requesting credit#79f62aad-d546-4726-bcac-d0ee58558c91 by credit#79f62aad-d546-4726-bcac-d0ee58558c91
28.27002959558562;client;INFO;0.20847369060525955;0.025116323564291793;1.0998942941488739;cf60207a-b246-4e07-a04e-6ac84c26814a;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
28.33059910178383;client;INFO;0.20847369060525955;0.025116323564291793;1.0998942941488739;151c345f-ff44-46a8-8a50-07b799d772e6;balance#db378d69-78bb-409a-994f-18b808b06d14;Requesting balance#db378d69-78bb-409a-994f-18b808b06d14 by client
