,Server,Time_floor,variable,Value
2045,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,31,Latency,0.0
32,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,32,CPU Usage,0.0
1039,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,32,Memory Usage,0.0
2046,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,32,Latency,0.0
33,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,33,CPU Usage,0.0
1040,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,33,Memory Usage,0.0
2047,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,33,Latency,0.0
34,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,34,CPU Usage,0.0
1041,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,34,Memory Usage,0.0
2048,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,34,Latency,0.0
35,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,35,CPU Usage,0.0
1042,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,35,Memory Usage,0.0
2049,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,35,Latency,0.0
36,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,36,CPU Usage,0.0
1043,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,36,Memory Usage,0.0
2050,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,36,Latency,0.0
37,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,37,CPU Usage,0.0
1044,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,37,Memory Usage,0.0
2051,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,37,Latency,0.0
38,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,38,CPU Usage,0.0
1045,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,38,Memory Usage,0.0
2052,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,38,Latency,0.0
