,Server,Time_floor,variable,Value
536,balance#8e3738a4-4644-4151-a622-b807800f5014,17,Memory Usage,0.0
1030,balance#8e3738a4-4644-4151-a622-b807800f5014,17,Latency,0.0
43,balance#8e3738a4-4644-4151-a622-b807800f5014,18,CPU Usage,0.0
537,balance#8e3738a4-4644-4151-a622-b807800f5014,18,Memory Usage,0.0
1031,balance#8e3738a4-4644-4151-a622-b807800f5014,18,Latency,0.0
44,balance#8e3738a4-4644-4151-a622-b807800f5014,19,CPU Usage,0.0
538,balance#8e3738a4-4644-4151-a622-b807800f5014,19,Memory Usage,0.0
1032,balance#8e3738a4-4644-4151-a622-b807800f5014,19,Latency,0.0
45,balance#8e3738a4-4644-4151-a622-b807800f5014,20,CPU Usage,0.0
539,balance#8e3738a4-4644-4151-a622-b807800f5014,20,Memory Usage,0.0
1033,balance#8e3738a4-4644-4151-a622-b807800f5014,20,Latency,0.0
46,balance#8e3738a4-4644-4151-a622-b807800f5014,21,CPU Usage,0.0
540,balance#8e3738a4-4644-4151-a622-b807800f5014,21,Memory Usage,0.0
1034,balance#8e3738a4-4644-4151-a622-b807800f5014,21,Latency,0.0
47,balance#8e3738a4-4644-4151-a622-b807800f5014,22,CPU Usage,0.0
541,balance#8e3738a4-4644-4151-a622-b807800f5014,22,Memory Usage,0.0
1035,balance#8e3738a4-4644-4151-a622-b807800f5014,22,Latency,0.0
48,balance#8e3738a4-4644-4151-a622-b807800f5014,23,CPU Usage,0.0
542,balance#8e3738a4-4644-4151-a622-b807800f5014,23,Memory Usage,0.0
1036,balance#8e3738a4-4644-4151-a622-b807800f5014,23,Latency,0.0
49,balance#8e3738a4-4644-4151-a622-b807800f5014,24,CPU Usage,0.0
543,balance#8e3738a4-4644-4151-a622-b807800f5014,24,Memory Usage,0.0
1037,balance#8e3738a4-4644-4151-a622-b807800f5014,24,Latency,0.0
50,balance#8e3738a4-4644-4151-a622-b807800f5014,25,CPU Usage,0.0
544,balance#8e3738a4-4644-4151-a622-b807800f5014,25,Memory Usage,0.0
1038,balance#8e3738a4-4644-4151-a622-b807800f5014,25,Latency,0.0
51,balance#8e3738a4-4644-4151-a622-b807800f5014,26,CPU Usage,0.0
545,balance#8e3738a4-4644-4151-a622-b807800f5014,26,Memory Usage,0.0
1039,balance#8e3738a4-4644-4151-a622-b807800f5014,26,Latency,0.0
52,balance#8e3738a4-4644-4151-a622-b807800f5014,27,CPU Usage,0.0
546,balance#8e3738a4-4644-4151-a622-b807800f5014,27,Memory Usage,0.0
1040,balance#8e3738a4-4644-4151-a622-b807800f5014,27,Latency,0.0
53,balance#8e3738a4-4644-4151-a622-b807800f5014,28,CPU Usage,0.0
547,balance#8e3738a4-4644-4151-a622-b807800f5014,28,Memory Usage,0.0
1041,balance#8e3738a4-4644-4151-a622-b807800f5014,28,Latency,0.0
54,balance#8e3738a4-4644-4151-a622-b807800f5014,29,CPU Usage,0.0
548,balance#8e3738a4-4644-4151-a622-b807800f5014,29,Memory Usage,0.0
1042,balance#8e3738a4-4644-4151-a622-b807800f5014,29,Latency,0.0
55,balance#8e3738a4-4644-4151-a622-b807800f5014,30,CPU Usage,0.0
549,balance#8e3738a4-4644-4151-a622-b807800f5014,30,Memory Usage,0.0
1043,balance#8e3738a4-4644-4151-a622-b807800f5014,30,Latency,0.0
56,balance#8e3738a4-4644-4151-a622-b807800f5014,31,CPU Usage,0.0
550,balance#8e3738a4-4644-4151-a622-b807800f5014,31,Memory Usage,0.0
1044,balance#8e3738a4-4644-4151-a622-b807800f5014,31,Latency,0.0
57,balance#8e3738a4-4644-4151-a622-b807800f5014,32,CPU Usage,0.0
551,balance#8e3738a4-4644-4151-a622-b807800f5014,32,Memory Usage,0.0
1045,balance#8e3738a4-4644-4151-a622-b807800f5014,32,Latency,0.0
58,balance#8e3738a4-4644-4151-a622-b807800f5014,33,CPU Usage,0.0
552,balance#8e3738a4-4644-4151-a622-b807800f5014,33,Memory Usage,0.0
1046,balance#8e3738a4-4644-4151-a622-b807800f5014,33,Latency,0.0
59,balance#8e3738a4-4644-4151-a622-b807800f5014,34,CPU Usage,0.0
553,balance#8e3738a4-4644-4151-a622-b807800f5014,34,Memory Usage,0.0
1047,balance#8e3738a4-4644-4151-a622-b807800f5014,34,Latency,0.0
60,balance#8e3738a4-4644-4151-a622-b807800f5014,35,CPU Usage,0.0
554,balance#8e3738a4-4644-4151-a622-b807800f5014,35,Memory Usage,0.0
1048,balance#8e3738a4-4644-4151-a622-b807800f5014,35,Latency,0.0
61,balance#8e3738a4-4644-4151-a622-b807800f5014,36,CPU Usage,0.0
555,balance#8e3738a4-4644-4151-a622-b807800f5014,36,Memory Usage,0.0
1049,balance#8e3738a4-4644-4151-a622-b807800f5014,36,Latency,0.0
62,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,0,CPU Usage,0.0
556,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,0,Memory Usage,0.0
1050,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,0,Latency,0.0
63,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,1,CPU Usage,0.0
557,balance#af9bdf0b-b1b0-432f-8269-8431d638a7a1,1,Memory Usage,0.0
